"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","DetectRate","MissingPer"
"Level2Sigma[5]","SD_Burst3_y1",NA,"1.916199",NA,NA,"0.11619542706887","0.14007","0.205469126740925","1.7072175","2.157675",NA,NA,NA,"1","0"
"Level2Sigma[6]","SD_Burst3_y2",NA,"1.384272",NA,NA,"0.102983613563645","0.102482","-0.00487080950345034","1.191555","1.5731025",NA,NA,NA,"1","0"
"Level2Sigma[7]","SD_Burst4_y1",NA,"1.951256",NA,NA,"0.122883484536032","0.142539","0.159952458527531","1.724155","2.1864",NA,NA,NA,"1","0"
"Level2Sigma[8]","SD_Burst4_y2",NA,"1.445671",NA,NA,"0.110654303156591","0.106716","-0.0355910528939629","1.279685","1.70247",NA,NA,NA,"1","0"
"Level2Sigma[9]","SD_Burst5_y1",NA,"1.968286",NA,NA,"0.125718172083113","0.143867","0.144361213786093","1.6994925","2.20265",NA,NA,NA,"1","0"
"Level2Sigma[10]","SD_Burst5_y2",NA,"1.468164",NA,NA,"0.115640967820162","0.108361","-0.062953190010341","1.290985","1.7051175",NA,NA,NA,"1","0"
"Level2Sigma[11]","SD_AR1","0.1","0.098843","0.0137346532537229","-0.0115700000000001","0.0137547806565241","0.014581","0.0600677949076535","0.073685","0.1222975","0.98","1",NA,"1","0"
"Level2Sigma[12]","SD_AR2","0.1","0.099487","0.013652036478123","-0.00513","0.0137111224849747","0.014517","0.0587754588224546","0.071635","0.12762","0.95","1",NA,"1","0"
"Level2Sigma[13]","SD_CR_y1toy2","0.1","0.100654","0.0122713405950613","0.00653999999999988","0.012315633654962","0.014234","0.155766759452536","0.0787475","0.124525","0.98","1",NA,"1","0"
"Level2Sigma[14]","SD_CR_y2toy1","0.1","0.099772","0.0130586829351202","-0.00228000000000006","0.0131224695877265","0.014293","0.0892004667603309","0.0765125","0.127735","0.96","1",NA,"1","0"
"sigma_innovation[1,1]","InnoVar_y1","1","0.998981","0.0146366833674846","-0.00101899999999999","0.0146747270895072","0.01471","0.00240365018563535","0.9754075","1.0295775","0.96","1",NA,"1","0"
"sigma_innovation[2,2]","InnoVar_y2","1","1.000226","0.0144077132120264","0.000226000000000059","0.0144785150474694","0.014724","0.0169551194805364","0.97195","1.0301","0.92","1",NA,"1","0"
"sigma_innovation[1,2]","InnoCov","0.3","0.297726","0.0112047400683818","-0.00757999999999999","0.011026832470997","0.01082","-0.0187571971861402","0.2759075","0.3197575","0.94","1",NA,"1","0"
"sigma_innovation[2,1]","InnoCov_sym","0.3","0.297726","0.0112047400683818","-0.00757999999999999","0.011026832470997","0.01082","-0.0187571971861402","0.2759075","0.3197575","0.94","1",NA,"1","0"
