"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","DetectRate","MissingPer"
"Level2Sigma[4]","SD_Burst2_y2","1.22554713982381","1.216219","0.0482565428887372","-0.00761140842379206","0.0475849027390712","0.046436","-0.0241442699877139","1.123665","1.30496","0.94","1",NA,"1","0"
"Level2Sigma[5]","SD_Burst3_y1","1.92749400743346","1.908204","0.0688923752731968","-0.0100078170718395","0.066469822909165","0.066392","-0.0011708006093434","1.774585","2.04498","0.91","1",NA,"1","0"
"Level2Sigma[6]","SD_Burst3_y2","1.39038469211727","1.38443","0.054525798097886","-0.00428276587841198","0.0544727185911174","0.050727","-0.0687632027186582","1.281825","1.4940675","0.93","1",NA,"1","0"
"Level2Sigma[7]","SD_Burst4_y1","1.96107469695758","1.94286","0.0734275097307296","-0.00928811992008055","0.0714907919478679","0.067357","-0.0578227186360214","1.795425","2.0601075","0.92","1",NA,"1","0"
"Level2Sigma[8]","SD_Burst4_y2","1.44296594681151","1.436214","0.0485460604966609","-0.00467921424371048","0.0483164150536478","0.052122","0.0787638102315062","1.3272625","1.52446","0.96","1",NA,"1","0"
"Level2Sigma[9]","SD_Burst5_y1","1.97661392972742","1.955292","0.0788246929794268","-0.0107870987888651","0.0762684489090338","0.067746","-0.111742785266272","1.78666","2.0790775","0.91","1",NA,"1","0"
"Level2Sigma[10]","SD_Burst5_y2","1.46479650840188","1.458055","0.0506347727409988","-0.00460235149606764","0.0504368018895775","0.052635","0.0435832175726588","1.3646525","1.566235","0.95","1",NA,"1","0"
"Level2Sigma[11]","SD_AR1","0.1","0.102995","0.0198316741602922","0.02995","0.0197029781628273","0.023128","0.173832697212981","0.0727675","0.148185","0.96","1",NA,"1","0"
"Level2Sigma[12]","SD_AR2","0.1","0.109182","0.0244681221183809","0.09182","0.0227942017259485","0.022731","-0.00277271065283792","0.0794475","0.16371","0.89","1",NA,"1","0"
"Level2Sigma[13]","SD_CR_y1toy2","0.1","0.099281","0.0158845742782109","-0.00719000000000011","0.0159482350437314","0.020178","0.265218373360455","0.07139","0.13228","0.99","1",NA,"1","0"
"Level2Sigma[14]","SD_CR_y2toy1","0.1","0.095487","0.014924814906725","-0.04513","0.0142978041331634","0.019622","0.372378570670676","0.069405","0.1203575","0.98","1",NA,"1","0"
"sigma_innovation[1,1]","InnoVar_y1","1","1.003416","0.0168925782520017","0.00341600000000009","0.0166269266826161","0.016507","-0.00721279914835221","0.97082","1.032565","0.96","1",NA,"1","0"
"sigma_innovation[2,2]","InnoVar_y2","1","1.000613","0.017969988870336","0.000612999999999975","0.0180500071630418","0.016051","-0.110748275332257","0.9655225","1.038095","0.9","1",NA,"1","0"
"sigma_innovation[1,2]","InnoCov","0.3","0.300752","0.0116923906879645","0.00250666666666677","0.0117269652140404","0.011713","-0.00119086343188434","0.2769675","0.3245325","0.94","1",NA,"1","0"
"sigma_innovation[2,1]","InnoCov_sym","0.3","0.300752","0.0116923906879645","0.00250666666666677","0.0117269652140404","0.011713","-0.00119086343188434","0.2769675","0.3245325","0.94","1",NA,"1","0"
